Cores, U LO, U HI, Success rate, Failed B
8, 4.000000, 4.000000, 10, 0
8, 4.000000, 4.500000, 10, 0
8, 4.000000, 5.000000, 10, 1
8, 4.000000, 5.500000, 10, 1
8, 4.000000, 6.000000, 10, 2
8, 4.000000, 6.500000, 10, 2
8, 4.000000, 7.000000, 10, 2
8, 4.000000, 7.500000, 10, 2
8, 4.000000, 8.000000, 10, 2
8, 4.500000, 4.000000, 10, 2
8, 4.500000, 4.500000, 10, 2
8, 4.500000, 5.000000, 10, 3
8, 4.500000, 5.500000, 10, 5
8, 4.500000, 6.000000, 10, 5
8, 4.500000, 6.500000, 10, 5
8, 4.500000, 7.000000, 10, 5
8, 4.500000, 7.500000, 10, 5
8, 4.500000, 8.000000, 10, 5
8, 5.000000, 4.000000, 10, 5
8, 5.000000, 4.500000, 10, 6
8, 5.000000, 5.000000, 10, 9
8, 5.000000, 5.500000, 10, 9
8, 5.000000, 6.000000, 10, 9
8, 5.000000, 6.500000, 10, 11
8, 5.000000, 7.000000, 10, 12
8, 5.000000, 7.500000, 10, 14
8, 5.000000, 8.000000, 10, 15
8, 5.500000, 4.000000, 10, 18
8, 5.500000, 4.500000, 10, 19
8, 5.500000, 5.000000, 10, 22
8, 5.500000, 5.500000, 10, 24
8, 5.500000, 6.000000, 10, 26
8, 5.500000, 6.500000, 10, 27
8, 5.500000, 7.000000, 10, 28
8, 5.500000, 7.500000, 10, 29
8, 5.500000, 8.000000, 10, 30
8, 6.000000, 4.000000, 10, 32
8, 6.000000, 4.500000, 10, 33
8, 6.000000, 5.000000, 10, 35
8, 6.000000, 5.500000, 10, 38
8, 6.000000, 6.000000, 10, 41
8, 6.000000, 6.500000, 10, 44
8, 6.000000, 7.000000, 10, 48
8, 6.000000, 7.500000, 10, 54
8, 6.000000, 8.000000, 10, 61
8, 6.500000, 4.000000, 10, 63
8, 6.500000, 4.500000, 10, 68
8, 6.500000, 5.000000, 10, 71
8, 6.500000, 5.500000, 10, 75
8, 6.500000, 6.000000, 10, 80
8, 6.500000, 6.500000, 10, 87
8, 6.500000, 7.000000, 10, 94
8, 6.500000, 7.500000, 9, 97
8, 6.500000, 8.000000, 10, 105
8, 7.000000, 4.000000, 10, 110
8, 7.000000, 4.500000, 10, 113
8, 7.000000, 5.000000, 9, 117
8, 7.000000, 5.500000, 10, 125
8, 7.000000, 6.000000, 10, 132
8, 7.000000, 6.500000, 10, 138
8, 7.000000, 7.000000, 10, 145
8, 7.000000, 7.500000, 9, 151
8, 7.000000, 8.000000, 10, 157
8, 7.500000, 4.000000, 9, 164
8, 7.500000, 4.500000, 10, 172
8, 7.500000, 5.000000, 7, 179
8, 7.500000, 5.500000, 9, 185
8, 7.500000, 6.000000, 9, 193
8, 7.500000, 6.500000, 8, 200
8, 7.500000, 7.000000, 8, 208
8, 7.500000, 7.500000, 10, 218
8, 7.500000, 8.000000, 9, 225
8, 8.000000, 4.000000, 7, 227
8, 8.000000, 4.500000, 9, 231
8, 8.000000, 5.000000, 9, 236
8, 8.000000, 5.500000, 6, 241
8, 8.000000, 6.000000, 7, 244
8, 8.000000, 6.500000, 7, 248
8, 8.000000, 7.000000, 8, 252
8, 8.000000, 7.500000, 5, 256
8, 8.000000, 8.000000, 7, 260
